record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-07-16 01:38:06,2026-07-16 01:00:00,55,55,26,35.8,4.2,1.6,3.7,26,88,1.5
2026-07-16 03:36:00,2026-07-16 03:00:00,57,57,27,30.9,4.6,1.6,3.7,25,88,0.5
2026-07-16 05:14:26,2026-07-16 05:00:00,55,55,26,22.4,4.2,1.6,3.7,24,94,2.5
2026-07-16 07:12:16,2026-07-16 06:00:00,53,53,23,25.2,4.2,1.6,3.7,25,88,2.5
2026-07-16 08:12:16,2026-07-16 07:00:00,50,50,23,20.8,5.1,1.6,3.7,26,78,1.5
2026-07-16 11:41:23,2026-07-16 11:00:00,34,34,19,31.7,4.2,1.6,2.8,31,52,1.5
2026-07-16 14:30:50,2026-07-16 14:00:00,37,25,14,36.6,4.2,1.6,2.8,34,43,1.5
2026-07-16 17:27:12,2026-07-16 17:00:00,85,68,39,85.1,6.4,1.6,6.4,32,59,3.6
2026-07-16 19:53:55,2026-07-16 19:00:00,109,109,51,88.4,7.8,2.6,9.1,30,72,2
2026-07-16 22:22:21,2026-07-16 22:00:00,68,68,33,48.8,6.9,1.6,5.5,28,61,1.5
