record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-07-25 01:51:30,2026-07-25 01:00:00,74,74,29,28.1,1.9,1.6,5.5,26,88,1.5
2026-07-25 03:46:05,2026-07-25 03:00:00,76,76,28,21.6,2.3,1.6,5.5,25,94,0.5
2026-07-25 05:20:08,2026-07-25 05:00:00,80,80,30,19.1,1.9,1.6,5.5,23,100,0.5
2026-07-25 07:15:58,2026-07-25 07:00:00,82,82,32,17.5,2.3,1.6,6.4,25,94,0.5
2026-07-25 11:36:30,2026-07-25 11:00:00,76,76,32,41.5,2.8,1.6,6.4,28,83,1.5
2026-07-25 14:28:45,2026-07-25 14:00:00,107,107,49,51.9,3.2,1.6,6.4,31,70,1.5
2026-07-25 17:12:05,2026-07-25 16:00:00,104,104,46,78,4.6,1.6,6.4,31,70,1.5
2026-07-25 18:46:07,2026-07-25 18:00:00,107,107,40,61,4.2,1.6,7.3,30,74,1.5
2026-07-25 20:09:23,2026-07-25 19:00:00,151,151,56,54.5,4.2,1.6,8.2,29,79,0.5
2026-07-25 22:02:39,2026-07-25 21:00:00,155,155,63,40.3,5.5,1.6,9.1,27,88,0.5
2026-07-25 23:19:06,2026-07-25 23:00:00,152,152,59,32.1,5.5,1.6,9.1,26,94,0.5
