record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-07-30 01:38:07,2026-07-30 01:00:00,53,53,20,19.1,6.4,1.6,4.6,29,83,1.5
2026-07-30 03:42:32,2026-07-30 02:00:00,55,55,23,17.1,9.2,1.6,4.6,27.5,91,1.5
2026-07-30 05:11:45,2026-07-30 04:00:00,61,61,28,10.2,7.4,1.6,4.6,28,88,0.5
2026-07-30 06:15:18,2026-07-30 06:00:00,70,70,34,6.1,9.6,1.6,4.6,27,94,1.5
2026-07-30 08:10:42,2026-07-30 07:00:00,85,85,46,9.8,10.6,1.6,4.6,29,83,2.5
2026-07-30 11:31:35,2026-07-30 11:00:00,97,97,52,32.5,4.2,1.6,4.6,31,74,3.6
2026-07-30 14:40:44,2026-07-30 14:00:00,57,57,21,45.5,3.2,1.6,4.6,33,62,3.6
2026-07-30 17:41:41,2026-07-30 17:00:00,51,50,20,50.6,2.8,1.6,4.6,34,59,5.6
2026-07-30 20:03:17,2026-07-30 19:00:00,59,59,24,45.1,5.1,1.6,4.6,32,66,2.5
2026-07-30 22:31:11,2026-07-30 22:00:00,61,61,29,22,7.8,1.6,4.6,30,79,1.5
