record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-07-13 01:17:11,2026-07-13 01:00:00,38,38,19,7.4,2.3,1.6,4.6,26,94,1.5
2026-07-13 03:30:37,2026-07-13 03:00:00,42,42,22,8.2,1.4,1.6,3.7,25,100,0.5
2026-07-13 05:06:23,2026-07-13 04:00:00,38,38,22,9.4,1.4,1.6,3.7,25,94,1
2026-07-13 06:07:17,2026-07-13 05:00:00,38,38,23,9.4,1.4,1.6,3.7,25,94,0.5
2026-07-13 07:08:42,2026-07-13 06:00:00,42,42,25,7,2.8,1.6,3.7,25,94,2.5
2026-07-13 08:10:50,2026-07-13 07:00:00,50,50,26,9.4,4.2,1.6,3.7,27,88,2.5
2026-07-13 12:01:48,2026-07-13 11:00:00,53,53,28,28.1,1.9,1.6,3.7,32,66,2.5
2026-07-13 15:36:46,2026-07-13 15:00:00,102,102,47,35.8,5.5,1.6,3.7,34,56,1.5
2026-07-13 19:28:05,2026-07-13 19:00:00,153,153,53,45.5,6.9,1.6,4.6,31,70,2.5
2026-07-13 23:10:39,2026-07-13 22:00:00,119,119,53,43.5,4.6,1.6,4.6,29,79,1.5
