record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-07-18 01:30:09,2026-07-18 01:00:00,46,46,22,29.3,6.9,1.6,3.7,26,73,2.5
2026-07-18 03:32:14,2026-07-18 03:00:00,53,53,23,25.6,7.4,1.6,3.7,24,83,1.5
2026-07-18 05:07:36,2026-07-18 04:00:00,59,59,30,26,9.2,1.6,3.7,23,88.5,1.5
2026-07-18 06:06:05,2026-07-18 05:00:00,55,55,26,18.7,5.5,1.6,3.7,22.5,97,1.5
2026-07-18 07:07:52,2026-07-18 06:00:00,53,53,24,17.5,4.6,1.6,3.7,24.5,85.5,1
2026-07-18 08:09:14,2026-07-18 07:00:00,57,57,29,17.1,5.1,1.6,3.7,25.5,80.5,1.5
2026-07-18 11:32:48,2026-07-18 11:00:00,78,78,36,52.6,5.1,1.6,3.7,29,65,2.5
2026-07-18 14:17:55,2026-07-18 14:00:00,80,74,35,79.9,5.1,1.6,4.6,31,58,3.6
2026-07-18 16:58:10,2026-07-18 16:00:00,69,65,28,68.8,5.5,1.6,4.6,29,65,4.6
2026-07-18 18:40:15,2026-07-18 18:00:00,40,25,11,40.3,3.2,1.6,3.7,25,69,2.5
2026-07-18 20:04:19,2026-07-18 19:00:00,34,34,13,32.1,4.6,1.6,3.7,24.5,71,2.5
2026-07-18 21:48:46,2026-07-18 21:00:00,55,55,21,34.2,6.4,1.6,3.7,23,83,0.5
