record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-07-29 00:50:19,2026-07-29 00:00:00,65,65,26,28.1,6.9,1.6,4.6,30,74,1.5
2026-07-29 02:45:18,2026-07-29 02:00:00,85,85,38,30.1,5.1,1.6,5.5,27,88,1
2026-07-29 04:34:16,2026-07-29 04:00:00,149,149,60,26.4,8.3,1.6,5.5,27,88,0.5
2026-07-29 06:16:23,2026-07-29 05:00:00,139,139,58,19.9,6.4,1.6,5.5,26,94,0.5
2026-07-29 08:08:30,2026-07-29 07:00:00,151,151,62,20.4,6.4,1.6,6.4,28,88,2.5
2026-07-29 11:40:05,2026-07-29 11:00:00,87,87,38,43.1,5.5,1.6,5.5,33,62,2.5
