record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-07-19 01:14:01,2026-07-19 00:00:00,55,55,23,24,5.5,1.6,3.7,22,94,0.5
2026-07-19 03:31:29,2026-07-19 03:00:00,55,55,23,16.7,5.5,1.6,3.7,22,94,0.5
2026-07-19 05:06:07,2026-07-19 04:00:00,61,61,26,14.7,6.9,1.6,3.7,21,100,0.5
2026-07-19 06:07:08,2026-07-19 05:00:00,63,63,27,13,6.4,1.6,3.7,22,94,0.5
2026-07-19 07:10:38,2026-07-19 06:00:00,70,70,30,11,4.2,1.6,3.7,23.5,91,0.5
2026-07-19 08:11:00,2026-07-19 06:00:00,70,70,30,11,4.2,1.6,3.7,23.5,91,0.5
