record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-07-12 01:15:32,2026-07-12 01:00:00,27,5,3,27.3,1,1.6,4.6,25,100,4.6
2026-07-12 03:31:31,2026-07-12 03:00:00,28,13,6,27.7,1,1.6,4.6,25,94,1.5
2026-07-12 05:06:33,2026-07-12 04:00:00,24,13,6,23.6,1.4,1.6,4.6,24,100,0.5
2026-07-12 06:08:08,2026-07-12 05:00:00,20,13,6,20.4,2.3,1.6,4.6,24,100,0.5
2026-07-12 07:10:06,2026-07-12 06:00:00,25,25,11,18.7,3.2,1.6,4.6,24,100,0.5
2026-07-12 08:11:40,2026-07-12 07:00:00,25,25,11,16.7,2.8,1.6,4.6,24,100,1.5
2026-07-12 12:00:31,2026-07-12 11:00:00,46,46,16,20.4,3.7,1.6,4.6,27,83,1.5
2026-07-12 14:47:31,2026-07-12 14:00:00,59,59,23,24.8,3.2,1.6,4.6,29,74,0.5
2026-07-12 17:15:38,2026-07-12 17:00:00,35,30,11,34.6,2.3,1.6,4.6,31,70,0.5
2026-07-12 19:31:56,2026-07-12 19:00:00,32,25,13,31.7,2.8,1.6,4.6,28,83,1.5
