record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-07-09 00:49:24,2026-07-09 00:00:00,78,78,33,28.9,4.2,1.6,4.6,27,83,0.5
2026-07-09 02:44:45,2026-07-09 02:00:00,80,80,38,29.7,3.2,1.6,4.6,26,88,1.5
2026-07-09 04:36:56,2026-07-09 04:00:00,87,87,40,28.9,2.8,1.6,4.6,25,94,0.5
2026-07-09 06:16:36,2026-07-09 06:00:00,89,89,40,19.9,4.2,1.6,5.5,26,88,1.5
2026-07-09 08:19:53,2026-07-09 08:00:00,93,93,44,19.5,6,1.6,5.5,28,83,2.5
2026-07-09 16:44:40,2026-07-09 16:00:00,92,50,19,91.6,2.8,1.6,4.6,34,52,3.6
2026-07-09 20:15:16,2026-07-09 19:00:00,85,57,19,84.5,6.4,1.6,4.6,32,59,2.5
