record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-07-22 00:41:12,2026-07-22 00:00:00,72,72,36,43.1,4.6,1.6,4.6,27,83,1.5
2026-07-22 02:39:44,2026-07-22 00:00:00,72,72,36,43.1,4.6,1.6,4.6,27,83,1.5
2026-07-22 04:35:35,2026-07-22 04:00:00,72,72,33,34.6,2.8,1.6,4.6,24,94,0.5
2026-07-22 06:12:01,2026-07-22 05:00:00,74,74,34,24.4,2.8,1.6,4.6,25,88,1.5
2026-07-22 07:13:44,2026-07-22 07:00:00,70,70,31,23.6,2.8,1.6,4.6,24,100,0.5
2026-07-22 11:45:39,2026-07-22 11:00:00,44,34,12,44.3,2.8,1.6,4.6,25,83,1.5
2026-07-22 14:41:52,2026-07-22 14:00:00,51,46,16,51.3,2.3,1.6,4.6,25,83,1.5
2026-07-22 17:38:09,2026-07-22 17:00:00,50,50,17,48.8,2.3,1.6,4.6,25,78,1.5
2026-07-22 20:02:54,2026-07-22 19:00:00,49,42,14,49.2,2.8,1.6,3.7,25,78,1.5
