record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-09-06 00:49:21,2026-09-06 00:00:00,74,74,33,42.3,2.3,0.6,6.4,22,88,1.5
2026-09-06 03:01:43,2026-09-06 02:00:00,78,78,33,34.6,2.8,0.6,6.4,22,83,1.5
2026-09-06 05:14:38,2026-09-06 04:00:00,78,78,34,29.7,2.3,0.6,6.4,21,88,1.5
2026-09-06 07:53:44,2026-09-06 07:00:00,87,87,38,20.8,2.3,0.6,7.3,22,88,0.5
2026-09-06 12:38:40,2026-09-06 12:00:00,74,74,36,60.4,2.3,1.6,6.4,29,58,1.5
2026-09-06 17:26:21,2026-09-06 17:00:00,90,82,41,89.7,2.8,1.6,7.3,29,58,2.5
2026-09-06 21:40:37,2026-09-06 21:00:00,104,104,54,47.6,4.2,1.1,7.3,27,65,2.5
