record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-09-04 00:25:15,2026-09-04 00:00:00,50,50,19,39.4,1.4,0.6,4.6,19,88,2.5
2026-09-04 03:50:14,2026-09-04 03:00:00,50,50,18,32.5,1.4,0.6,4.6,19,77,1.5
2026-09-04 06:34:44,2026-09-04 06:00:00,46,46,18,26.4,1.4,0.6,4.6,18,82,2.5
2026-09-04 08:58:31,2026-09-04 08:00:00,50,50,22,21.2,4.6,0.6,4.6,23,60,4.6
2026-09-04 13:54:25,2026-09-04 13:00:00,47,46,22,47.2,2.3,0.6,3.7,31,35,1.5
2026-09-04 19:17:46,2026-09-04 19:00:00,55,55,22,41.9,4.2,0.6,4.6,24,69,0.5
