record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-05-03 00:01:27,2026-05-02 23:00:00,28,13,6,28.1,1,2.1,1.9,11,66,1.5
2026-05-03 01:06:48,2026-05-03 00:00:00,24,13,6,24,1.4,1.6,1.9,9,81,1.5
2026-05-03 02:02:32,2026-05-03 01:00:00,21,13,6,20.8,1.9,1.6,1.9,7,93,0.5
2026-05-03 03:17:58,2026-05-03 03:00:00,17,13,6,16.7,0.5,1.6,1.9,7,87,1.5
2026-05-03 04:59:56,2026-05-03 04:00:00,15,13,6,14.7,0.5,1.6,1.9,6,93,1.5
2026-05-03 05:58:32,2026-05-03 05:00:00,12,13,6,12.2,0.5,2.1,1.9,6,93,1.5
2026-05-03 07:03:11,2026-05-03 06:00:00,11,13,6,11,0.5,2.1,1.9,9,87,2.5
2026-05-03 08:01:04,2026-05-03 07:00:00,17,17,8,11.8,2.8,2.1,1.9,12,71,1.5
2026-05-03 12:11:21,2026-05-03 11:00:00,34,13,16,33.8,1,2.1,1.9,15,62,1.5
2026-05-03 14:41:44,2026-05-03 14:00:00,37,13,10,37,1,2.1,1.9,19,24,5.6
2026-05-03 16:57:00,2026-05-03 16:00:00,37,13,7,37.4,1,2.1,1.9,21,15,7.7
2026-05-03 18:16:22,2026-05-03 18:00:00,39,13,8,39,1,2.1,1.9,21,15.5,6.6
