record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-05-23 02:04:39,2026-05-23 01:00:00,34,34,13,22.4,5.1,0.6,3.7,18,88,2.5
2026-05-23 04:10:56,2026-05-23 03:00:00,34,34,12,24.4,4.6,0.6,2.8,17,93,1.5
2026-05-23 05:36:56,2026-05-23 05:00:00,53,53,19,15.1,10.1,1.1,3.7,17,93,0.5
2026-05-23 07:19:14,2026-05-23 07:00:00,93,93,40,13,12.4,1.1,6.4,18,88,1.5
2026-05-23 12:07:30,2026-05-23 11:00:00,70,70,29,37.4,6.4,1.1,4.6,24,64,2.5
2026-05-23 14:45:39,2026-05-23 14:00:00,65,65,30,59.1,6.9,1.1,3.7,25,61,3.6
2026-05-23 17:13:50,2026-05-23 17:00:00,76,76,39,62.3,6.9,1.1,3.7,25,65,2.5
2026-05-23 19:35:44,2026-05-23 19:00:00,78,78,40,49.6,7.8,1.1,3.7,23,78,1.5
2026-05-23 22:02:14,2026-05-23 21:00:00,91,91,51,41.9,8.7,1.1,3.7,22,88,0.5
2026-05-23 23:19:39,2026-05-23 23:00:00,99,99,55,43.1,7.4,1.1,3.7,22,83,1.5
