record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-05-10 01:12:26,2026-05-10 00:00:00,117,117,59,42.3,4.6,1.6,4.6,17,67,2.5
2026-05-10 02:07:09,2026-05-10 01:00:00,122,122,59,41.9,4.6,1.6,4.6,13,87,0.5
2026-05-10 03:33:27,2026-05-10 03:00:00,127,127,57,39.8,4.6,1.1,4.6,11,93,0.5
2026-05-10 05:03:09,2026-05-10 04:00:00,127,127,55,36.2,4.6,1.1,4.6,11,93,0.5
2026-05-10 06:01:37,2026-05-10 05:00:00,127,127,55,30.9,5.1,1.1,4.6,10,93,0.2
2026-05-10 07:04:57,2026-05-10 06:00:00,132,132,55,26.4,5.5,1.1,4.6,11,93,0.5
2026-05-10 08:04:28,2026-05-10 07:00:00,142,142,59,24,7.4,1.6,5.5,17,72,1.5
2026-05-10 12:15:16,2026-05-10 12:00:00,70,70,39,63,4.6,2.1,4.6,29,28,0.5
2026-05-10 15:34:35,2026-05-10 15:00:00,66,38,21,65.6,3.2,1.6,3.7,32,13,2.5
