record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-05-30 00:53:14,2026-05-30 00:00:00,42,42,19,32.9,4.6,1.1,1.9,20,68,0.5
2026-05-30 03:40:29,2026-05-30 03:00:00,38,38,17,30.1,3.7,0.6,1.9,16,93,1.5
2026-05-30 06:04:31,2026-05-30 05:00:00,42,42,17,28.1,2.8,0.6,1.9,15,93,1.5
2026-05-30 07:41:40,2026-05-30 07:00:00,50,50,22,23.6,5.1,1.1,2.8,23,60,0.5
2026-05-30 12:17:23,2026-05-30 12:00:00,73,50,35,72.7,7.8,1.1,2.8,34,28,1.5
2026-05-30 15:55:04,2026-05-30 15:00:00,116,55,36,115.6,6.9,1.6,2.8,36,28,5.6
2026-05-30 18:17:04,2026-05-30 18:00:00,101,59,40,100.6,7.4,1.1,2.8,35,26,5.6
