record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-05-12 00:11:08,2026-05-11 23:00:00,89,89,54,50.6,6.4,1.6,6.4,20.5,68.5,2
2026-05-12 02:07:05,2026-05-12 01:00:00,91,91,53,42.7,6.9,1.6,6.4,18,72,1.5
2026-05-12 04:03:47,2026-05-12 03:00:00,102,102,52,34.6,6.9,1.6,6.4,18,72,1.5
2026-05-12 05:41:27,2026-05-12 05:00:00,114,114,54,29.7,6.9,1.6,6.4,16,87,1.5
2026-05-12 07:11:38,2026-05-12 06:00:00,122,122,56,28.5,6.4,1.6,6.4,17,88,1.5
2026-05-12 08:12:07,2026-05-12 08:00:00,151,151,66,33.8,6.9,2.6,7.3,21,68,1.5
2026-05-12 12:08:25,2026-05-12 11:00:00,162,162,76,66.2,8.3,3.6,7.3,27,50,1.5
2026-05-12 14:49:33,2026-05-12 14:00:00,134,134,58,107.6,6,3.6,7.3,32,29,7.7
2026-05-12 17:49:14,2026-05-12 17:00:00,104,76,40,104.1,3.7,2.6,7.3,31,33,5.6
2026-05-12 20:17:42,2026-05-12 20:00:00,129,129,62,94.2,9.2,2.6,8.2,28,45,2.5
