record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-05-21 02:31:10,2026-05-21 02:00:00,42,42,14,15.9,1.4,0.6,2.8,18,82,0.5
2026-05-21 05:13:16,2026-05-21 03:00:00,42,42,15,11,1.4,0.6,2.8,16,93,1.5
2026-05-21 07:39:09,2026-05-21 07:00:00,55,55,20,14.7,2.3,0.6,2.8,19,88,0.5
2026-05-21 12:44:22,2026-05-21 12:00:00,61,61,26,41.9,1.4,1.1,2.8,26,57,3.6
2026-05-21 16:42:48,2026-05-21 16:00:00,61,59,24,61,1.4,1.1,3.7,27,47,2.5
2026-05-21 20:26:55,2026-05-21 20:00:00,55,55,26,48.8,2.3,1.1,3.7,23,64,1.5
