record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-04-03 10:05:04,2026-04-03 09:00:00,180,180,107,24,17,6.1,10,14,62,0.5
2026-04-03 13:37:42,2026-04-03 13:00:00,191,191,120,42.3,13.8,5.6,9.1,20,45,1.5
2026-04-03 14:18:56,2026-04-03 14:00:00,169,169,98,42.3,9.2,4.6,7.3,23,15,11.8
2026-04-03 16:08:54,2026-04-03 15:00:00,38,25,38,31.7,2.3,2.1,2.8,22,12,8.7
2026-04-03 17:10:10,2026-04-03 16:00:00,34,21,31,33.8,2.8,2.1,1.9,22,13,12.8
2026-04-03 18:05:04,2026-04-03 17:00:00,35,17,30,35,2.8,2.1,1.9,21,14,13.8
2026-04-03 19:03:33,2026-04-03 18:00:00,36,17,22,35.8,2.8,2.1,2.8,19,16,11.8
2026-04-03 19:53:38,2026-04-03 19:00:00,37,13,13,37,2.8,2.1,2.8,17,16,7.7
2026-04-03 21:38:06,2026-04-03 21:00:00,37,13,9,36.6,2.3,2.1,1.9,16,17,10.8
