record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-04-20 00:57:58,2026-04-20 00:00:00,143,80,143,35.8,1,2.1,4.6,11,12,9.7
2026-04-20 01:53:58,2026-04-20 01:00:00,149,89,149,35.4,1,2.1,4.6,10,12,8.7
2026-04-20 03:09:16,2026-04-20 02:00:00,151,95,151,35,0.5,1.6,4.6,10,12,5.6
2026-04-20 03:54:48,2026-04-20 03:00:00,138,104,138,35.4,0.5,1.6,4.6,10,12,5.6
2026-04-20 04:54:18,2026-04-20 04:00:00,129,99,129,35.8,0.5,1.6,4.6,9,15,2.5
2026-04-20 05:51:31,2026-04-20 05:00:00,119,95,119,35,0.5,1.6,4.6,7,22,1.5
2026-04-20 06:55:52,2026-04-20 06:00:00,112,112,111,33.8,1,1.6,4.6,9,19,2.5
2026-04-20 07:53:05,2026-04-20 07:00:00,132,132,111,28.5,2.8,1.6,4.6,11,13,2.5
2026-04-20 11:51:57,2026-04-20 11:00:00,71,63,71,29.7,2.3,2.1,4.6,18,10,7.7
2026-04-20 14:27:24,2026-04-20 14:00:00,47,42,47,35.8,2.3,2.1,4.6,21.5,9,9.2
2026-04-20 17:18:52,2026-04-20 17:00:00,38,30,47,38.2,1.9,2.1,4.6,24,8,6.6
2026-04-20 19:42:19,2026-04-20 18:00:00,38,30,24,37.8,1,2.1,2.8,20,22,5.6
