record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-04-15 00:20:27,2026-04-15 00:00:00,144,144,62,13.9,10.6,2.6,8.2,7,87,0.5
2026-04-15 02:18:00,2026-04-15 02:00:00,144,144,62,15.1,3.2,2.1,7.3,6,93,0.5
2026-04-15 04:15:24,2026-04-15 04:00:00,137,137,59,13.9,2.8,2.1,7.3,8,93,0.5
2026-04-15 06:06:01,2026-04-15 05:00:00,132,132,57,14.3,2.3,2.1,7.3,6,100,0.5
2026-04-15 07:04:53,2026-04-15 06:00:00,127,127,56,12.6,2.8,2.1,7.3,7,93,0.5
2026-04-15 08:00:04,2026-04-15 07:00:00,127,127,55,11.8,2.8,2.1,7.3,9,93,0.5
2026-04-15 11:41:13,2026-04-15 11:00:00,166,166,89,27.7,12.4,5.1,11.8,18,48,1.5
2026-04-15 14:10:51,2026-04-15 13:00:00,170,170,92,57.1,9.2,6.1,10.9,20,45,1.5
2026-04-15 16:06:49,2026-04-15 15:00:00,168,168,86,78,7.4,5.6,10.9,22,43,3.6
2026-04-15 17:50:57,2026-04-15 17:00:00,162,162,76,86.4,7.4,6.1,10,22,43,2.5
2026-04-15 22:05:37,2026-04-15 21:00:00,169,169,88,44.7,10.6,3.6,10,19,48,2.5
2026-04-15 23:37:43,2026-04-15 23:00:00,162,162,81,35.8,11,3.1,9.1,17,55,1.5
