record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-04-07 00:01:31,2026-04-06 23:00:00,33,17,28,32.5,1,2.1,2.8,9,21,4.6
2026-04-07 01:06:51,2026-04-07 00:00:00,33,17,22,32.5,0.5,2.1,2.8,9,19,4.6
2026-04-07 02:04:41,2026-04-07 01:00:00,33,13,12,33.3,0.5,2.1,2.8,8,21,2.5
2026-04-07 03:19:53,2026-04-07 03:00:00,33,9,10,32.5,0.5,2.1,2.8,5,25,2.5
2026-04-07 04:56:14,2026-04-07 04:00:00,32,13,9,32.1,0.5,2.1,2.8,6,26,1.5
2026-04-07 05:51:50,2026-04-07 05:00:00,31,13,10,30.9,1.4,2.6,2.8,2,37,1.5
2026-04-07 06:56:49,2026-04-07 06:00:00,28,13,12,27.7,3.2,2.1,2.8,-1,54,1.5
2026-04-07 07:51:34,2026-04-07 07:00:00,24,21,19,24.4,6.4,2.6,2.8,6,33,0.5
