record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-04-16 01:18:59,2026-04-16 01:00:00,163,163,81,37.4,5.5,3.1,9.1,15,62,0.5
2026-04-16 03:43:16,2026-04-16 03:00:00,167,167,82,32.9,5.5,2.6,8.2,12,81,0.5
2026-04-16 05:06:51,2026-04-16 04:00:00,167,167,82,28.9,5.5,2.6,8.2,13,76,0.5
2026-04-16 06:05:23,2026-04-16 05:00:00,168,168,83,30.5,5.1,3.1,8.2,12,81,0.5
2026-04-16 07:02:54,2026-04-16 06:00:00,169,169,83,27.7,5.1,3.1,8.2,12,81,0.5
2026-04-16 07:59:45,2026-04-16 07:00:00,170,170,85,23.6,6,2.6,9.1,14,76,0.5
