record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-04-25 01:13:02,2026-04-25 00:00:00,117,117,57,34.2,5.5,2.1,4.6,15,93,0.5
2026-04-25 02:02:28,2026-04-25 01:00:00,112,112,57,35,4.6,2.1,4.6,14,93,1.5
2026-04-25 03:13:21,2026-04-25 02:00:00,117,117,59,30.1,5.1,1.6,4.6,14,93,0.5
2026-04-25 05:06:04,2026-04-25 04:00:00,127,127,60,26,5.1,1.6,4.6,12,100,0.5
2026-04-25 06:02:22,2026-04-25 05:00:00,132,132,61,22.4,5.5,1.6,4.6,11,100,0.5
2026-04-25 06:58:29,2026-04-25 06:00:00,137,137,60,20.8,4.2,1.6,4.6,12,93,0.5
2026-04-25 07:55:45,2026-04-25 07:00:00,139,139,60,19.1,4.6,2.1,5.5,16,93,0.5
2026-04-25 11:32:19,2026-04-25 11:00:00,159,159,80,41.5,10.1,2.6,5.5,23,60,1.5
2026-04-25 13:58:52,2026-04-25 13:00:00,168,168,92,61,15.1,2.6,6.4,26,47,4.6
2026-04-25 15:45:15,2026-04-25 15:00:00,82,82,47,77.3,7.4,2.6,4.6,27,36,6.6
