record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-04-13 00:57:30,2026-04-13 00:00:00,93,93,61,31.3,4.6,2.6,5.5,15,72,1.5
2026-04-13 01:52:25,2026-04-13 01:00:00,82,82,55,27.3,5.1,2.6,5.5,17,59,1.5
2026-04-13 03:08:39,2026-04-13 02:00:00,85,85,55,24,5.1,2.1,5.5,18,55,2.5
2026-04-13 03:53:20,2026-04-13 03:00:00,72,72,48,21.6,5.1,2.1,5.5,18,63,3.6
2026-04-13 04:52:42,2026-04-13 04:00:00,109,109,64,25.2,5.5,2.6,6.4,18,45,4.6
2026-04-13 05:51:03,2026-04-13 05:00:00,175,175,119,31.7,9.2,4.6,10.9,17,36,4.6
2026-04-13 06:54:47,2026-04-13 06:00:00,158,158,88,30.1,6.9,4.6,9.1,16,33,2.5
2026-04-13 07:51:50,2026-04-13 07:00:00,117,117,71,28.1,6.4,4.1,7.3,16,31,1.5
2026-04-13 11:52:42,2026-04-13 11:00:00,77,76,77,29.3,5.5,3.1,5.5,17,31,2.5
2026-04-13 14:26:31,2026-04-13 14:00:00,80,80,76,36.6,5.5,4.1,5.5,18,27,3.6
2026-04-13 17:12:37,2026-04-13 16:00:00,89,89,76,37.8,5.5,4.1,5.5,18,27,3.6
2026-04-13 18:57:26,2026-04-13 18:00:00,104,104,77,38.2,6.4,4.1,6.4,16,33,2.5
2026-04-13 20:10:51,2026-04-13 19:00:00,127,127,74,33.3,7.8,3.6,6.4,15,35,1.5
