record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-04-11 00:07:47,2026-04-10 23:00:00,35,13,6,35,3.2,2.1,3.7,12,58,0.5
2026-04-11 01:07:37,2026-04-11 00:00:00,33,13,6,32.5,3.7,2.1,3.7,11,46,1.5
2026-04-11 02:01:46,2026-04-11 01:00:00,34,13,6,34.2,2.8,2.1,3.7,13,40,1.5
2026-04-11 03:12:14,2026-04-11 02:00:00,30,13,6,30.1,3.2,2.1,3.7,9,61,0.5
2026-04-11 03:56:47,2026-04-11 03:00:00,28,13,6,27.7,3.2,2.1,3.7,8,65,0.5
2026-04-11 04:56:17,2026-04-11 04:00:00,27,13,6,27.3,3.2,2.1,3.7,8,61,1.5
2026-04-11 05:54:41,2026-04-11 05:00:00,18,13,6,18.3,7.8,2.6,3.7,7,65,0.5
2026-04-11 06:56:31,2026-04-11 06:00:00,20,13,8,20.4,7.4,2.1,3.7,6,70,0.5
2026-04-11 07:52:13,2026-04-11 07:00:00,21,13,10,21.2,6.9,2.6,3.7,13,47,2.5
2026-04-11 11:19:52,2026-04-11 11:00:00,61,61,54,32.9,6.4,3.1,6.4,19,32,4.6
2026-04-11 13:40:22,2026-04-11 13:00:00,63,63,61,39,5.1,3.1,5.5,21,28,5.6
2026-04-11 15:17:11,2026-04-11 15:00:00,70,70,68,52.6,5.1,4.1,6.4,22,23,5.6
2026-04-11 17:02:30,2026-04-11 16:00:00,64,61,64,50,4.6,3.1,5.5,20,26,5.6
2026-04-11 17:57:01,2026-04-11 17:00:00,68,65,68,48.4,4.6,3.1,4.6,20,24,4.6
