record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-04-24 00:11:29,2026-04-23 23:00:00,80,80,47,28.5,12.8,2.1,5.5,18,67,2.5
2026-04-24 01:48:10,2026-04-24 01:00:00,85,85,50,20.4,14.2,2.1,5.5,17,77,2.5
2026-04-24 03:41:08,2026-04-24 03:00:00,91,91,50,14.7,11.5,2.1,4.6,15,82,1.5
2026-04-24 05:07:30,2026-04-24 04:00:00,97,97,52,14.7,6.9,2.1,4.6,13,87,0.5
2026-04-24 06:02:03,2026-04-24 05:00:00,109,109,55,15.9,6,2.1,4.6,12,93,0.5
2026-04-24 07:07:44,2026-04-24 06:00:00,122,122,58,13.9,6.9,2.1,5.5,12,93,0.5
2026-04-24 08:03:13,2026-04-24 07:00:00,119,119,57,12.6,6.4,2.1,5.5,15,87,0.5
2026-04-24 11:50:48,2026-04-24 11:00:00,147,147,66,37,5.5,3.1,4.6,21,60,1.5
2026-04-24 14:20:14,2026-04-24 14:00:00,147,147,65,47.6,6.4,2.6,5.5,24,50,0.5
