record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-04-30 00:53:34,2026-04-30 00:00:00,42,42,24,24.8,5.1,2.1,2.8,11,57,1.5
2026-04-30 02:48:00,2026-04-30 02:00:00,30,30,16,26.4,3.2,2.1,1.9,8,75,1.5
2026-04-30 04:20:45,2026-04-30 04:00:00,26,25,15,26,2.3,2.1,1.9,7,81,0.5
2026-04-30 06:11:06,2026-04-30 05:00:00,30,30,16,24.4,2.3,2.1,1.9,6,87,0.5
2026-04-30 07:12:09,2026-04-30 07:00:00,38,38,20,22.4,3.7,2.1,2.8,14,54,1.5
2026-04-30 08:10:01,2026-04-30 07:00:00,38,38,20,22.4,3.7,2.1,2.8,14,54,1.5
2026-04-30 12:05:38,2026-04-30 11:00:00,65,65,40,41.5,3.7,2.1,2.8,23,25,0.5
2026-04-30 14:42:24,2026-04-30 14:00:00,65,65,39,59.7,3.2,2.6,2.8,27,21,3.6
2026-04-30 17:25:44,2026-04-30 17:00:00,80,80,49,73.4,5.1,2.6,2.8,27,22,4.6
