record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-08-15 00:05:38,2026-08-14 23:00:00,46,46,17,26.4,3.7,1.6,2.8,25,73,1.5
2026-08-15 01:10:33,2026-08-15 00:00:00,46,46,17,24.8,3.7,1.6,2.8,26,73,1.5
2026-08-15 02:07:49,2026-08-15 01:00:00,53,53,19,19.9,6.4,1.6,3.7,24,88,0.5
2026-08-15 03:13:25,2026-08-15 02:00:00,55,55,19,20.8,6.4,1.6,3.7,24,94,0.5
2026-08-15 04:45:07,2026-08-15 04:00:00,55,55,20,14.3,4.6,1.6,3.7,24,88,1.5
2026-08-15 05:40:25,2026-08-15 04:00:00,55,55,19,13.9,3.7,1.6,3.7,24,88,1
2026-08-15 06:40:07,2026-08-15 06:00:00,19,55,19,15.1,3.2,1.6,3.7,24,94,0.5
2026-08-15 07:35:19,2026-08-15 07:00:00,57,57,20,13.5,4.6,1.6,3.7,22,94,2.5
2026-08-15 09:49:05,2026-08-15 09:00:00,38,34,13,37.8,2.8,1.6,3.7,22,94,3.6
2026-08-15 11:04:34,2026-08-15 10:00:00,39,34,11,39.4,2.3,1.6,3.7,21,100,2.5
2026-08-15 11:53:37,2026-08-15 11:00:00,36,25,9,36.2,2.3,1.6,3.7,21,94,0.5
