record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-08-05 02:03:05,2026-08-05 01:00:00,55,55,21,12.6,2.8,1.6,4.6,26,94,0.2
2026-08-05 03:55:45,2026-08-05 03:00:00,55,55,23,11,2.3,1.6,4.6,26,94,0.5
2026-08-05 05:35:15,2026-08-05 03:00:00,55,55,25,9,2.8,1.6,4.6,25,100,0.5
2026-08-05 07:18:01,2026-08-05 07:00:00,63,63,30,9.4,6,1.6,4.6,27,94,0.5
2026-08-05 11:31:56,2026-08-05 11:00:00,65,65,26,45.1,4.2,1.6,5.5,33,62,0.5
2026-08-05 14:41:14,2026-08-05 14:00:00,77,65,31,76.7,4.6,1.6,5.5,37,50,3.6
2026-08-05 17:48:43,2026-08-05 17:00:00,97,68,31,96.8,4.6,1.6,5.5,36,53,2.5
2026-08-05 20:16:05,2026-08-05 20:00:00,82,82,40,50,6.4,1.6,5.5,31,74,1.5
2026-08-05 23:27:07,2026-08-05 23:00:00,74,74,35,32.9,4.2,1.6,5.5,29.5,83.5,1
