record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-08-10 00:53:23,2026-08-10 00:00:00,65,65,36,44.7,7.4,1.1,5.5,25,73,0.5
2026-08-10 01:47:21,2026-08-10 01:00:00,65,65,37,39,6.4,0.6,5.5,25,69,1.5
2026-08-10 03:00:02,2026-08-10 02:00:00,70,70,39,35,6.9,0.6,5.5,25,73,1.5
2026-08-10 03:47:56,2026-08-10 03:00:00,72,72,40,34.6,8.3,0.6,5.5,25,65,1.5
2026-08-10 04:51:10,2026-08-10 04:00:00,76,76,43,37.4,8.7,0.6,5.5,25,65,1.5
2026-08-10 05:47:31,2026-08-10 05:00:00,80,80,47,33.3,8.7,0.6,5.5,24,78,0.5
2026-08-10 06:49:27,2026-08-10 06:00:00,87,87,51,28.1,10.6,0.6,6.4,24.5,75.5,1
2026-08-10 07:46:08,2026-08-10 07:00:00,93,93,54,24,12.8,1.1,6.4,24.5,75.5,1
2026-08-10 10:33:51,2026-08-10 10:00:00,91,91,55,24.4,11.9,2.1,7.3,29,54,1.5
2026-08-10 12:53:30,2026-08-10 12:00:00,85,85,50,85.1,6.9,2.1,6.4,30,51,1.5
2026-08-10 14:41:14,2026-08-10 14:00:00,110,78,49,110.1,6.9,2.1,6.4,32,46,2.5
2026-08-10 16:50:17,2026-08-10 16:00:00,112,74,42,112.1,6,2.1,7.3,32,52,3.6
