record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-08-14 01:11:39,2026-08-13 23:00:00,25,25,10,15.5,2.8,1.6,2.8,22,100,0.5
2026-08-14 02:08:40,2026-08-14 01:00:00,30,30,12,11.4,3.7,1.6,2.8,22,100,0.5
2026-08-14 03:21:02,2026-08-14 03:00:00,30,30,13,8.6,3.7,1.6,2.8,22,100,0.5
2026-08-14 05:02:47,2026-08-14 03:00:00,30,30,13,9,3.2,1.6,2.8,22,94,2.5
2026-08-14 06:02:29,2026-08-14 05:00:00,34,34,15,6.5,3.2,1.6,2.8,21,100,1.5
2026-08-14 07:02:07,2026-08-14 06:00:00,34,34,14,7,3.7,1.6,2.8,22,94,1.5
2026-08-14 07:58:22,2026-08-14 07:00:00,38,38,16,8.2,5.1,1.6,2.8,22.5,91,2.5
2026-08-14 10:45:27,2026-08-14 10:00:00,34,34,15,22.4,4.2,0.6,2.8,28.5,65,2.5
2026-08-14 13:02:02,2026-08-14 12:00:00,42,42,16,36.6,4.2,2.6,3.7,31,52,1.5
2026-08-14 14:41:40,2026-08-14 14:00:00,39,34,14,38.6,4.2,1.1,2.8,31,55,3.6
2026-08-14 16:36:49,2026-08-14 16:00:00,40,34,14,40.3,3.7,0.6,2.8,31,48,2.5
