record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-08-24 00:42:45,2026-08-24 00:00:00,46,34,10,46.3,2.8,1.6,5.5,27,83,1.5
2026-08-24 01:33:55,2026-08-24 01:00:00,51,13,6,50.6,1.4,1.6,4.6,25,88,4.6
2026-08-24 02:47:47,2026-08-24 02:00:00,49,13,6,49.2,1.9,1.6,4.6,24,94,3.6
2026-08-24 03:34:01,2026-08-24 03:00:00,47,13,6,46.8,2.3,1.6,4.6,23,100,1.5
2026-08-24 04:38:23,2026-08-24 04:00:00,44,17,6,43.9,2.3,1.6,4.6,23,100,1.5
2026-08-24 05:34:59,2026-08-24 05:00:00,44,17,6,43.9,1.9,1.6,4.6,23,97,1.5
