record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-08-07 08:15:03,2026-08-07 06:00:00,74,74,30,18.3,3.7,1.6,4.6,27,94,3.6
2026-08-07 12:03:03,2026-08-07 06:00:00,74,74,30,18.3,3.7,1.6,4.6,27,94,3.6
2026-08-07 13:50:06,2026-08-07 13:00:00,50,50,20,40.7,2.8,1.1,4.6,36,53,2.5
2026-08-07 15:40:34,2026-08-07 15:00:00,55,55,23,45.5,2.8,1.6,4.6,36,53,3.6
2026-08-07 17:14:50,2026-08-07 16:00:00,59,59,25,55.2,3.2,1.6,4.6,35,59,2.5
2026-08-07 19:06:57,2026-08-07 18:00:00,35,25,14,35.4,3.7,1.6,3.7,24,100,2.5
2026-08-07 19:57:09,2026-08-07 19:00:00,35,30,10,34.6,3.7,1.6,3.7,24.6,96,3.9
2026-08-07 21:38:41,2026-08-07 21:00:00,29,25,10,28.9,4.2,1.6,3.7,26,88,3.6
2026-08-07 23:08:21,2026-08-07 22:00:00,30,30,12,24.8,5.1,1.6,3.7,25,94,1.5
