record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-08-09 00:51:23,2026-08-09 00:00:00,50,50,20,30.5,10.6,1.6,4.6,25,73,0.5
2026-08-09 01:45:35,2026-08-09 01:00:00,50,50,20,25.6,9.2,1.6,4.6,26,65,1.5
2026-08-09 02:57:48,2026-08-09 02:00:00,46,46,21,26,9.2,1.6,3.7,26,57,1.5
2026-08-09 03:43:49,2026-08-09 03:00:00,46,46,20,23.2,6.9,1.6,3.7,26,44,2.5
2026-08-09 04:47:42,2026-08-09 04:00:00,46,46,20,21.6,9.2,0.6,4.6,26,41,1.5
2026-08-09 05:45:18,2026-08-09 05:00:00,50,50,21,20.8,10.1,0.6,3.7,25,44,1.5
2026-08-09 06:46:59,2026-08-09 06:00:00,46,46,21,19.1,9.6,0.6,3.7,25,44,1.5
2026-08-09 07:44:31,2026-08-09 07:00:00,50,50,22,19.9,8.7,0.6,3.7,24,47,1.5
2026-08-09 10:28:12,2026-08-09 10:00:00,50,50,25,31.3,7.4,1.6,4.6,27,44,1.5
2026-08-09 12:36:18,2026-08-09 12:00:00,57,57,29,38.2,8.3,2.1,5.5,29,54,1.5
2026-08-09 13:57:08,2026-08-09 13:00:00,59,59,31,48.8,8.3,1.6,5.5,30,51,1.5
2026-08-09 15:15:30,2026-08-09 14:00:00,75,61,34,74.7,8.7,1.6,5.5,30,54.5,1.5
2026-08-09 17:01:44,2026-08-09 16:00:00,98,78,45,97.5,9.2,1.1,5.5,29.5,60,2
