record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-08-01 01:51:31,2026-08-01 01:00:00,25,25,11,19.9,1.4,1.6,3.7,28,69,3.6
2026-08-01 03:52:09,2026-08-01 03:00:00,34,34,15,12.6,2.3,1.6,3.7,28,69,3
2026-08-01 05:27:30,2026-08-01 05:00:00,38,38,18,9.8,2.8,1.6,3.7,28,74,2.5
2026-08-01 07:15:10,2026-08-01 07:00:00,30,30,15,11,2.8,1.6,3.7,27,83,0.5
2026-08-01 11:49:36,2026-08-01 11:00:00,34,34,15,25.6,3.2,1.6,3.7,33,59,1.5
2026-08-01 14:42:11,2026-08-01 14:00:00,42,34,16,41.9,1.9,1.6,3.7,35,53,1.5
2026-08-01 17:20:22,2026-08-01 17:00:00,50,38,18,50,1.9,1.6,3.7,35,56,3.6
2026-08-01 19:37:11,2026-08-01 19:00:00,83,55,24,82.5,4.2,1.6,4.6,33,66,2.5
2026-08-01 21:54:33,2026-08-01 21:00:00,68,68,30,52.6,5.1,1.6,4.6,31,74,1.5
