record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-06-15 01:47:36,2026-06-15 01:00:00,152,152,64,48.4,6,1.1,4.6,22,88,1.5
2026-06-15 03:57:27,2026-06-15 03:00:00,151,151,62,48,4.6,1.1,5.5,21,88,0.5
2026-06-15 05:38:56,2026-06-15 05:00:00,144,144,56,39,3.2,1.1,5.5,20,93,0.5
2026-06-15 07:37:14,2026-06-15 07:00:00,117,117,50,44.3,3.7,1.1,6.4,21,94,0.5
2026-06-15 13:27:38,2026-06-15 13:00:00,132,132,55,36.2,5.5,0.6,6.4,24,78,2.5
2026-06-15 20:42:49,2026-06-15 20:00:00,153,153,63,29.7,4.6,0.6,6.4,25,83,1.5
