record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-06-18 00:04:48,2026-06-17 23:00:00,30,30,13,29.3,4.2,0.6,1.9,22,94,0.5
2026-06-18 02:34:41,2026-06-18 02:00:00,34,34,15,23.2,4.6,0.6,1.9,23,88,1.5
2026-06-18 05:21:21,2026-06-18 05:00:00,46,46,19,20.4,4.2,0.6,2.8,23,88,1.5
2026-06-18 07:50:37,2026-06-18 07:00:00,57,57,25,19.5,4.6,0.6,2.8,24,88,0.5
2026-06-18 13:02:08,2026-06-18 12:00:00,122,122,62,74.7,5.1,1.1,3.7,29,65,2.5
2026-06-18 17:45:14,2026-06-18 17:00:00,144,144,64,79.3,6.9,1.6,6.4,28,74,1.5
