record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-06-01 00:36:13,2026-06-01 00:00:00,63,63,33,47.6,2.8,1.1,2.8,23,53,0.5
2026-06-01 02:17:12,2026-06-01 02:00:00,57,57,28,32.1,2.3,0.6,2.8,18,72,0.5
2026-06-01 04:20:34,2026-06-01 04:00:00,26,21,11,26.4,1.4,0.6,1.9,16,87,1.5
2026-06-01 06:13:37,2026-06-01 05:00:00,25,17,10,25.2,1.4,0.6,1,17,72,2.5
2026-06-01 08:15:27,2026-06-01 08:00:00,38,38,22,22,6.9,1.1,1.9,27,36,0.5
2026-06-01 14:18:24,2026-06-01 14:00:00,105,61,42,104.6,5.1,0.6,2.8,35,20,6.6
