record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-06-06 00:08:56,2026-06-05 23:00:00,46,46,23,35.4,5.1,1.6,1.9,21,56,1.5
2026-06-06 02:10:37,2026-06-06 01:00:00,53,53,25,30.1,4.6,1.6,1.9,20,64,0.5
2026-06-06 04:14:12,2026-06-06 03:00:00,59,59,30,27.3,4.2,1.6,1.9,20,64,1.5
2026-06-06 06:35:07,2026-06-06 06:00:00,72,72,37,24.4,8.3,1.6,2.8,16,100,1.5
2026-06-06 08:19:33,2026-06-06 08:00:00,80,80,37,16.7,7.8,1.6,2.8,17,93,2.5
2026-06-06 13:04:37,2026-06-06 12:00:00,34,34,13,28.1,2.8,1.6,1.9,15,93,2.5
