record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-06-28 00:19:15,2026-06-27 23:00:00,60,53,28,59.7,5.5,0.6,2.8,27,61,2.5
2026-06-28 02:18:03,2026-06-28 02:00:00,63,63,34,44.7,4.2,0.6,3.7,22,94,0.5
2026-06-28 04:19:44,2026-06-28 04:00:00,68,68,35,40.7,2.8,0.6,3.7,23,83,2.5
2026-06-28 06:15:25,2026-06-28 05:00:00,68,68,34,41.1,2.3,0.6,3.7,21,88,0.5
2026-06-28 08:14:15,2026-06-28 07:00:00,72,72,37,37.4,4.6,0.6,3.7,27,65,0.5
2026-06-28 13:44:14,2026-06-28 13:00:00,105,91,52,105.1,4.6,2.6,5.5,32.5,49,3.6
2026-06-28 17:32:20,2026-06-28 17:00:00,142,142,65,128.1,5.5,2.6,6.4,33,40,2.5
2026-06-28 19:58:26,2026-06-28 19:00:00,155,155,73,123.1,6,2.6,8.2,30,58,3.6
2026-06-28 22:15:41,2026-06-28 22:00:00,132,132,60,91,4.2,1.6,5.5,27,61,3.6
