record_time,publish_time,aqi,pm25,pm10,o3,no2,so2,co,temperature,humidity,wind
2026-06-23 01:49:45,2026-06-23 01:00:00,29,25,13,28.5,3.7,0.6,2.8,20.2,82.2,4.1
2026-06-23 05:13:02,2026-06-23 04:00:00,30,30,15,20.4,2.3,0.6,2.8,19,88,5.6
2026-06-23 06:56:53,2026-06-23 06:00:00,53,53,23,22.8,4.2,0.6,2.8,19,88,1.5
2026-06-23 09:23:04,2026-06-23 09:00:00,82,82,40,18.3,5.5,0.6,3.7,21,82,3.6
2026-06-23 14:19:10,2026-06-23 14:00:00,80,80,35,53.9,3.7,1.6,3.7,27,50,2.5
2026-06-23 18:43:23,2026-06-23 18:00:00,85,85,41,83.8,6,1.6,4.6,23,88,1.5
